id,symbol,date,open,low,high,close,volume,rsi
1063336,TSLA,2024-06-27 10:30:00,195.83,195.65,197.02,196.9,4884875,68.7682675740284
1063338,TSLA,2024-06-27 09:30:00,196.73,195.15,197.12,195.81,5161668,65.5426797987763
1063340,TSLA,2024-06-27 08:30:00,196.05,195.82,196.88,196.72,5580646,71.05679462481343
1063342,TSLA,2024-06-27 07:30:00,194.83,194.05,196.44,196.05,7645115,69.34801467182928
1063344,TSLA,2024-06-27 06:30:00,196.79,194.71,197.06,194.82,11618963,66.03482593055351
1063346,TSLA,2024-06-27 05:30:00,195.17,194.12,198.72,196.81,26325909,78.36941371253279
1063348,TSLA,2024-06-26 11:30:00,196.63,195.01,197.76,195.3,10038881,75.20676313003969
1063350,TSLA,2024-06-26 10:30:00,196.05,195.44,196.95,196.64,9687450,85.15026309015047
1063352,TSLA,2024-06-26 09:30:00,194.92,194.26,196.2,196.05,9563169,84.32922645388187
1063354,TSLA,2024-06-26 08:30:00,194.52,192.93,195.18,194.92,7771000,82.67840292328343
1063356,TSLA,2024-06-26 07:30:00,193.07,192.69,195.5,194.53,12639139,82.09243279293575
1063358,TSLA,2024-06-26 06:30:00,192.15,191.7,193.66,193.09,11006464,79.82437016712184
1063360,TSLA,2024-06-26 05:30:00,186.54,186.36,194.19,192.18,29450429,78.25821394614891
1063362,TSLA,2024-06-25 11:30:00,187.56,185.0,187.85,187.06,5222852,64.17695123805694
1063364,TSLA,2024-06-25 10:30:00,186.82,186.33,187.74,187.57,5682950,68.1328547855421
1063366,TSLA,2024-06-25 09:30:00,185.48,184.69,186.82,186.82,5372820,65.30209183932439
1063368,TSLA,2024-06-25 08:30:00,185.95,184.81,186.36,185.48,5641223,59.51997040169107
1063370,TSLA,2024-06-25 07:30:00,185.97,185.73,187.97,185.97,9034037,62.973603955286336
1063372,TSLA,2024-06-25 06:30:00,186.12,184.9,186.84,185.96,8851826,62.93410055121024
1063374,TSLA,2024-06-25 05:30:00,184.4,182.01,187.01,186.11,18604335,63.85379499138616
1063376,TSLA,2024-06-24 11:30:00,184.3,182.2,184.35,182.55,4805636,47.450704664761965
1063378,TSLA,2024-06-24 10:30:00,183.34,183.2,184.38,184.3,4537160,59.37034330400963
1063380,TSLA,2024-06-24 09:30:00,183.5,182.93,183.99,183.33,4245347,53.54948309953805
1063382,TSLA,2024-06-24 08:30:00,185.26,183.36,185.35,183.5,4500246,54.78755431707127
1063384,TSLA,2024-06-24 07:30:00,184.77,184.56,185.54,185.28,4512764,70.04945824918472
1063386,TSLA,2024-06-24 06:30:00,183.96,182.6,185.6,184.79,10962275,67.8291793697218
1063388,TSLA,2024-06-24 05:30:00,184.97,183.74,188.8,183.97,24422683,63.78582586603197
1063390,TSLA,2024-06-21 11:30:00,181.96,181.58,183.63,182.92,7323842,57.65201665892302
1063392,TSLA,2024-06-21 10:30:00,181.99,181.27,182.09,181.95,3733505,50.71093410287973
1063394,TSLA,2024-06-21 09:30:00,181.44,181.04,182.12,182.0,4071566,51.09948848255856
1063396,TSLA,2024-06-21 08:30:00,182.63,181.33,183.09,181.47,4092463,47.24312812467821
1063398,TSLA,2024-06-21 07:30:00,182.21,181.71,182.87,182.64,4444705,56.02048062047117
1063400,TSLA,2024-06-21 06:30:00,181.73,181.5,183.95,182.21,9483878,53.14079616170817
1063402,TSLA,2024-06-21 05:30:00,182.3,180.69,183.92,181.75,18591837,49.987964060363396
1063404,TSLA,2024-06-20 11:30:00,181.09,180.75,181.97,181.57,4491499,48.774149625684984
1063406,TSLA,2024-06-20 10:30:00,181.14,180.13,181.35,181.09,4327215,45.60573416095039
